Headlines,Time,Description
Greenlight Capital David Einhorn says hedge fund has never underperformed like this,2018-02-21,Greenlight Capitals David Einhorn says hedge fund has never underperformed like this David Einhorn Greenlight Capital suffered its worst performance ever relative to the S&P 500 in January.
"A high concentration of tech stocks in an index is a ‘danger sign, Esays analyst",2018-02-21,"Too many stocks in one sector will spell disaster during the next bear market, say analyst. "
If the S&P jumps up the run could continue,2018-02-22,The S&P is on pace for a 5% jump in two weeks. According to  our data partners at Kensho when that happens there is reason to believe the run isn't done.
A potential dip? Cramer's favorite market indicator,2018-02-26,"Jim Cramer returns to ""Mad Money"" with a fresh take on the stock market supported by one of his trustiest indicators."
Cramer's lightning round: My biggest worry about Allergan,2018-02-26,"Jim Cramer flies through his take on callers' favorite stocks, including a drug play he owns for his charitable trust."
Cramer's favorite market indicator is signaling a potential dip,2018-02-26,"Jim Cramer returns to ""Mad Money"" with a fresh take on the stock market supported by one of his trustiest indicators."
Cramer Remix: It's time to investigate risky VIX-related trading products,2018-02-26,Jim Cramer’s got a message for Congress and the SEC.
Cramer's favorite market indicator is signaling a potential dip,2018-02-26,"Jim Cramer returns to ""Mad Money"" with a fresh take on the stock market supported by one of his trustiest indicators."
Cramer's game plan: Back in action with a retail earnings bonanza,2018-02-26,Jim Cramer chooses key stocks and events for investors to keep an eye on in the week ahead.
Cramer: General Mills was 'unjustly punished' for buying Blue Buffalo,2018-02-26,Jim Cramer vets General Mills' acquisition of Blue Buffalo to discover that the deal is much better than investors may think.
Cramer: Get ready for a bidding war between Disney and Comcast,2018-02-27,Jim Cramer readies investors for a practically inevitable bidding war over international broadcasting group Sky.
Cramer's charts reveal that investors' euphoria caused the stock market meltdown,2018-02-27,Jim Cramer and technician Carley Garner inspect the S&P 500's charts to understand the market's recent correction.
Cramer's lightning round: Wall Street youngsters are weighing on oil stocks,2018-02-27,"Jim Cramer rattles off his take on callers' favorite stocks, including an oil play subject to an investor-led sea change."
Cramer: 'Miracle worker' Jeff Gennette will make Macy's turnaround sustainable,2018-02-27,Jim Cramer gives credit to Macy's CEO Jeff Gennette for revamping Macy's and brightening the retailer's outlook.
Cramer's charts reveal that investors' euphoria caused the stock market meltdown,2018-02-27,Jim Cramer and technician Carley Garner inspect the S&P 500's charts to understand the market's recent correction.
"Cramer Remix: Even on down days, HP Inc. and Hewlett Packard Enterprise continue to win",2018-02-27,Jim Cramer highlights the growth behind HP Inc. and Hewlett Packard Enterprise.
Charts: Investor euphoria caused stock market meltdown,2018-02-27,Jim Cramer and technician Carley Garner inspect the S&P 500's charts to understand the market's recent correction.
Cramer's lightning round: Nokia has become a good spec. I'm done selling,2018-02-28,"Jim Cramer zips through his take on callers' favorite stocks, including a consumer electronics play."
"Cramer Remix: Lowe’s is an underdog, but it could be worth your while",2018-02-28,Jim Cramer nails down the details on why the home improvement retailer is too cheap to ignore.
Under Armour CEO: 2018 will be one of the most important chapters in our 22-year history,2018-02-28,"Jim Cramer sits down with Kevin Plank, the founder, chairman and CEO of Under Armour, to hear about his athletic brand's turnaround."
"Cramer: Use declines to buy, not sell, stocks like Boeing and Apple",2018-02-28,Jim Cramer addresses three high-performing stocks investors should hold onto during moments of market madness.
Salesforce CEO Marc Benioff: Our $20 billion revenue target just became that much more attainable,2018-02-28,"Jim Cramer sits down with Salesforce founder, Chairman and CEO Marc Benioff to discuss the company's earnings results."
Companies that don't value trust will 'pay a terrible price': Salesforce CEO Marc Benioff,2018-02-28,"Jim Cramer sits down with Salesforce founder, Chairman and CEO Marc Benioff, who shares his perspective on the future of tech."
"Cramer Remix: Even on down days, HP Inc. and Hewlett Packard Enterprise continue to win",2018-02-28,Jim Cramer highlights the growth behind HP Inc. and Hewlett Packard Enterprise.
Cramer Remix: The first stock people will drop in this sell-off,2018-03-01,Jim Cramer’s revealing the first stock investors will be dropping if stocks keep falling.
Cramer's lightning round: Don't touch the stock of Albemarle,2018-03-01,"Jim Cramer zooms through his take on callers' favorite stocks, including a lithium play under pressure."
Cramer's sell-off strategy: This is a great opportunity to buy Amazon,2018-03-01,Jim Cramer calms investors' sell-off fears in a strategy session after the Dow Jones' several-hundred-point decline.
CSX customers will likely bear the burden of higher steel tariffs: CEO,2018-03-01,"Fees from increased steel tariffs would eventually be passed onto CSX customers, says the railroad's CEO. "
Cramer: Worries about the Trump tariffs are far too extreme,2018-03-01,Jim Cramer pushes back against the bear case swirling around the president's tariffs on steel and aluminum imports.
When the S&P declines more than 2% in February,2018-03-01,"The S&P ended the month of February down 2%. After similar drops stocks tend to bounce back in Mar, with the Dow and S&P both up over 1.5% "
Cramer: Don't be fooled—retail REITs' stocks are still very risky to own,2018-03-01,Jim Cramer cautions investors about investing in retail real estate investment trusts due to the decline of brick-and-mortar retail.
New tariffs let China get 'off more or less scot-free': Former U.S. trade representative,2018-03-02,"President Trump's steel and aluminum tariffs would affect U.S. allies, not China, says former U.S. trade representative."
Cramer's game plan: Earnings tainted by Trump tariffs,2018-03-02,Jim Cramer looks ahead to the stocks and events of import next week and tells investors there's more to stocks than just the Trump tariffs.
Cramer parses the numbers behind Trump's steel and aluminum tariffs,2018-03-02,Jim Cramer predicts the effects of the recently announced tariffs on key companies in the space.
Cramer's strategy session: Don't bottom-fish in Walmart's stock just yet,2018-03-02,Jim Cramer talks retail in a strategy session following a major intraday decline on Thursday.
Cramer's lightning round: Now is not the time to buy Snap,2018-03-02,"Jim Cramer rattles off his take on callers' favorite stocks, including a social media play."
Cramer Remix: We’ve already been in a trade war for ages,2018-03-02,Jim Cramer issues a reality check on the state of trade in the U.S.
Cramer: Ride the wave of the PC comeback with stocks like Micron,2018-03-05,Jim Cramer tracks the return of personal computers and how it makes semiconductor stocks like Micron and Nvidia look cheap.
Cramer Remix: Triniseo is the unknown stock to buy on hyped-up trade war worries,2018-03-05,"Jim Cramer sets his sights on the power of U.S. chemical company Trinseo, and says this stock may not stop running any time soon."
Cramer's lightning round: I think Blackberry's stock is headed higher,2018-03-05,"Jim Cramer shares his take on callers' favorite stocks at lightning speed, including one with a deluge of intellectual property."
Top performing sectors in Mar,2018-03-05,"The month of Mar tends to be bullish for stocks as consumer discretionary, telecom and tech lead the pack."
Use bitcoin to hedge fears of losses during a trade war: Bitcoin bull Brian Kelly,2018-03-05,"Amid fears of possible trade wars, one hedge-fund manager suggests putting your money into bitcoin to protect it. "
Nucor CEO on Trump tariffs: 'We're treating other countries how they treat us',2018-03-05,Jim Cramer gets Nucor CEO John Ferriola's take on President Donald Trump's recently announced steel and aluminum tariffs.
"Cramer: When it comes to China tariffs, Alphabet's stock is the 'least shortable'",2018-03-06,Jim Cramer explains why certain stocks will be essentially unaffected by tariffs on some Chinese imports.
Mar laggards,2018-03-06,"Kensho stat of the day. While Marc tends to be a strong month for stocks but not all sectors excel. The month's biggest laggard sectors, healthcare, materials and energy. "
Cramer: Trump tariff that excludes Canada and Mexico would create 'wave of jubilation' in the market,2018-03-06,Jim Cramer says Wall Street is paralyzed in fear by Trump's proposed plan for tariffs of 25 percent on imported steel and 10 percent on aluminum.
